,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
116036,"t(102) = 16.30, p < .001",t,102.0,,16.3,<,0.001
161117,"t(31) = 4.55, p < .001",t,31.0,,4.55,<,0.001
47039,"F(1, 146) = 6.38, p < .02",f,1.0,146.0,6.38,<,0.02
124192,"F(1, 76) = 19.94, p < .001",f,1.0,76.0,19.94,<,0.001
5046,"F(1, 147) = 69.42, p <.001",f,1.0,147.0,69.42,<,0.001
30154,"t(142) = 2.91, p   < .01",t,142.0,,2.91,<,0.01
84657,"F(1, 56) = 10.74, p   < .01",f,1.0,56.0,10.74,<,0.01
55572,"F(1, 1141) = 24.76, p < .001",f,1.0,1141.0,24.76,<,0.001
172315,"t(33) = 2.61, p < .01",t,33.0,,2.61,<,0.01
14307,"F(1, 194) = 9.65, p   < .05",f,1.0,194.0,9.65,<,0.05
6805,"F(1, 66) = 6.30, p   < .01",f,1.0,66.0,6.3,<,0.01
136174,"F(1, 210) = 6.6, p < .05",f,1.0,210.0,6.6,<,0.05
75192,"F(2, 607) = 7.640, p = .001",f,2.0,607.0,7.64,=,0.001
55747,"t(89) = 6.626, p < .001",t,89.0,,6.626,<,0.001
144737,"t(108) = 9.83, p < .001",t,108.0,,9.83,<,0.001
55643,"F(1, 38) = 22.22, p < .001",f,1.0,38.0,22.22,<,0.001
2987,"t(416) = −1.98, p = .05",t,416.0,,-1.98,=,0.05
161099,"F(1, 31) = 11.05, p < .01",f,1.0,31.0,11.05,<,0.01
176647,"F(1, 150) = 5.11, p = .025",f,1.0,150.0,5.11,=,0.025
35560,"F(1, 76) = 29.90, p < .001",f,1.0,76.0,29.9,<,0.001
37565,"t(70) = 3.48, p < .001",t,70.0,,3.48,<,0.001
15680,"t(72) = 2.45, p < .05",t,72.0,,2.45,<,0.05
87418,"F(2, 81) = 3.99, p < .05",f,2.0,81.0,3.99,<,0.05
138164,"t(23) = 2.18, p = .04",t,23.0,,2.18,=,0.04
100583,"t(48) = 2.83, p = .007",t,48.0,,2.83,=,0.007
135066,"F(1, 63) = 5.49, p = .02",f,1.0,63.0,5.49,=,0.02
39366,"F(12, 494) = 60.05, p < .001",f,12.0,494.0,60.05,<,0.001
190973,"F(1, 46) = 19.63, p < .001",f,1.0,46.0,19.63,<,0.001
109687,"F(2, 22) = 4.91, p = .017",f,2.0,22.0,4.91,=,0.017
24190,"t(151) = 2.52, p < .05",t,151.0,,2.52,<,0.05
82522,"t   (36) = 3.39, p   < .01",t,36.0,,3.39,<,0.01
140859,"t(203)   = 3.96,    p   < .001",t,203.0,,3.96,<,0.001
97966,"t(23) = 5.02, p < .001",t,23.0,,5.02,<,0.001
159393,"F(1, 46) = 4.54, p <.05",f,1.0,46.0,4.54,<,0.05
93635,"F(1, 62) = 11.79, p   < .01",f,1.0,62.0,11.79,<,0.01
84489,"F(1, 80) = 10.14, p = .002",f,1.0,80.0,10.14,=,0.002
21230,"t(46) = 5.70, p <.001",t,46.0,,5.7,<,0.001
164444,"F(3, 121) = 4.63, p   < .01",f,3.0,121.0,4.63,<,0.01
73832,"F(1, 78) = 8.97, p < .01",f,1.0,78.0,8.97,<,0.01
112164,"F(1, 40) = 7.70, p < .01",f,1.0,40.0,7.7,<,0.01
98756,"t   (49) = 2.37, p   < .05",t,49.0,,2.37,<,0.05
183747,"F(1, 20) = 14.25, p < .002",f,1.0,20.0,14.25,<,0.002
93951,"F(1, 153) = 124.62, p < .001",f,1.0,153.0,124.62,<,0.001
110752,"F(1, 279)   = 0.05,    p   > .05",f,1.0,279.0,0.05,>,0.05
177782,"F(1, 23) = 6.677, p = .017",f,1.0,23.0,6.677,=,0.017
19444,"F(2, 27) = 21.15, p < .001",f,2.0,27.0,21.15,<,0.001
104506,"F(1, 52) = 8.54, p < .01",f,1.0,52.0,8.54,<,0.01
50450,"t(38) = −2.52, p < .05",t,38.0,,-2.52,<,0.05
99766,"F(1, 28) = 6.41, p   < .02",f,1.0,28.0,6.41,<,0.02
70539,"F(2, 252) = 8.26, p < .001",f,2.0,252.0,8.26,<,0.001
111034,"F(1, 58) = 4.19, p < .05",f,1.0,58.0,4.19,<,0.05
42182,"F(2, 264) =   5.81,p <.01",f,2.0,264.0,5.81,<,0.01
95315,"F(2, 701) = 13.16, p < .001",f,2.0,701.0,13.16,<,0.001
11822,"F(1, 48) = 15.93, p < .001",f,1.0,48.0,15.93,<,0.001
110187,"F(1, 94) = 13.89, p   < .0001",f,1.0,94.0,13.89,<,0.0001
179823,"F(1, 25) = 7.07, p < .05",f,1.0,25.0,7.07,<,0.05
82844,"t(1039) = 3.78,   p < .001",t,1039.0,,3.78,<,0.001
154497,"F(1, 38) = 80.97, p < .001",f,1.0,38.0,80.97,<,0.001
137450,"F(1, 22) = 10.52, p < .01",f,1.0,22.0,10.52,<,0.01
5575,"F(1, 51) = 4.32, p < .05",f,1.0,51.0,4.32,<,0.05
192004,"F(1, 261) = 11.96, p < .001",f,1.0,261.0,11.96,<,0.001
139877,"t(1744) = 2.69, p < .01",t,1744.0,,2.69,<,0.01
145058,"F(1, 17) = 14.93, p < .001",f,1.0,17.0,14.93,<,0.001
27818,"F(1, 127) = 110.99, p < .01",f,1.0,127.0,110.99,<,0.01
46983,"F(4, 296) = 3.90, p < .01",f,4.0,296.0,3.9,<,0.01
11584,"F(4, 141) = 15.05, p < .001",f,4.0,141.0,15.05,<,0.001
96922,"F(1, 107) = 4.76, p = .02",f,1.0,107.0,4.76,=,0.02
106042,"F(1, 30) = 10.58, p < .01",f,1.0,30.0,10.58,<,0.01
133227,"t   (94) = 2.11, p <.05",t,94.0,,2.11,<,0.05
78655,"F(1, 102) = 17.63, p < .001",f,1.0,102.0,17.63,<,0.001
141233,"t(59) = 2.12, p = .038",t,59.0,,2.12,=,0.038
15459,"F(1, 27) = 10.12, p = .004",f,1.0,27.0,10.12,=,0.004
101983,"t(27) = 6.01, p < .001",t,27.0,,6.01,<,0.001
72570,"t(559) = 2.62, p <.01",t,559.0,,2.62,<,0.01
120937,"F   (10, 100) = 3.46,   p   = .001",f,10.0,100.0,3.46,=,0.001
35346,"t(53) = 3.58, p = .0008",t,53.0,,3.58,=,0.0008
7757,"F(1, 82) = 7.83, p   = .006",f,1.0,82.0,7.83,=,0.006
42558,"F(2, 35) = 27.19, p < .001",f,2.0,35.0,27.19,<,0.001
136373,"F(1, 123) = 140.40, p < .01",f,1.0,123.0,140.4,<,0.01
160831,"F(4, 1739) = 111.4, p < .001",f,4.0,1739.0,111.4,<,0.001
118439,"F(2, 106) = 25.31, p < .001",f,2.0,106.0,25.31,<,0.001
18134,"F(1, 266) = 28.15, p <.001",f,1.0,266.0,28.15,<,0.001
194383,"F(1, 28) = 25.40, p < .000",f,1.0,28.0,25.4,<,0.0
114217,"t(12) = 2.41, p < .05",t,12.0,,2.41,<,0.05
13641,"F(6, 33) = 7.27, p < .001",f,6.0,33.0,7.27,<,0.001
126040,"t(495) = 12.80, p < .0001",t,495.0,,12.8,<,0.0001
113632,"F(4, 29) = 4.01, p < .05",f,4.0,29.0,4.01,<,0.05
140998,"F(3, 68) = 4.63, p < .01",f,3.0,68.0,4.63,<,0.01
62755,"F(2, 48) = 7.63, p < .001",f,2.0,48.0,7.63,<,0.001
141289,"t(57) = 12.69, p < .001",t,57.0,,12.69,<,0.001
136468,"t(1855) = 8.00, p < .01",t,1855.0,,8.0,<,0.01
71053,"F(1, 129) =   16.38, p < .0001",f,1.0,129.0,16.38,<,0.0001
52711,"F(1, 165) = 60.73, p < .001",f,1.0,165.0,60.73,<,0.001
17143,"t(100) = 3.00, p < .01",t,100.0,,3.0,<,0.01
11599,"F(1, 48) = 12.41, p < .001",f,1.0,48.0,12.41,<,0.001
81590,"F(1, 75) = 65.85, p   < .001",f,1.0,75.0,65.85,<,0.001
4765,"F(1, 80) = 32.70, p < .0001",f,1.0,80.0,32.7,<,0.0001
93147,"F(18, 5742) = 1.69, p < .05",f,18.0,5742.0,1.69,<,0.05
11515,"F(1, 29) = 6.81, p < .05",f,1.0,29.0,6.81,<,0.05
166473,"t   (24) = −8.96, p < .001",t,24.0,,-8.96,<,0.001
167120,"F(3, 55) = 62.28, p <.01",f,3.0,55.0,62.28,<,0.01
163990,"F(1, 82) = 4.64, p = .034",f,1.0,82.0,4.64,=,0.034
167694,"F(1, 119) = 6.43, p<.02",f,1.0,119.0,6.43,<,0.02
195150,"F(7, 62) = 2.89, p < .05",f,7.0,62.0,2.89,<,0.05
99989,"F(1, 785) = 79.92, p < .001",f,1.0,785.0,79.92,<,0.001
179052,"t(7) = 99.00, p < .001",t,7.0,,99.0,<,0.001
126429,"t(14) = 2.86, p = .01",t,14.0,,2.86,=,0.01
45209,"F(1, 168) = 21.99, p < .001",f,1.0,168.0,21.99,<,0.001
42648,"F(1, 54) = 19.52, p   < .01",f,1.0,54.0,19.52,<,0.01
191919,"t(25) = 2.24, p = .034",t,25.0,,2.24,=,0.034
196380,"F(6, 84) = 3.03, p < .01",f,6.0,84.0,3.03,<,0.01
179184,"F(1, 60) = 173.44, p < .001",f,1.0,60.0,173.44,<,0.001
165022,"F(1, 209) = 6.86, p <.01",f,1.0,209.0,6.86,<,0.01
108455,"F(2, 248) = 155.66, p < .01",f,2.0,248.0,155.66,<,0.01
104940,"F(1, 19) = 0.65, p > .05",f,1.0,19.0,0.65,>,0.05
100315,"F(1, 58) = 4.25, p   < .05",f,1.0,58.0,4.25,<,0.05
180426,"t(43) = 2.49, p = .017",t,43.0,,2.49,=,0.017
2132,"F(1, 43) = 10.00, p   < .002",f,1.0,43.0,10.0,<,0.002
39151,"t(194) = 4.67, p < .001",t,194.0,,4.67,<,0.001
48478,"F(1, 172) = 8.98, p < .01",f,1.0,172.0,8.98,<,0.01
66005,"F(1, 75) = 6.11, p = .016",f,1.0,75.0,6.11,=,0.016
168681,"F(3, 124) = 17.15, p < .0001",f,3.0,124.0,17.15,<,0.0001
116346,"F(18, 1312) = 10.36, p < .001",f,18.0,1312.0,10.36,<,0.001
155674,"t(43) = 2.1, p = .042",t,43.0,,2.1,=,0.042
167498,"F(2, 134) = 6.36, p < .01",f,2.0,134.0,6.36,<,0.01
3041,"F(2, 80) = 10.07, p < .001",f,2.0,80.0,10.07,<,0.001
108472,"F(1, 124) = 66.54, p < .01",f,1.0,124.0,66.54,<,0.01
135034,"F(1, 78) = 399.29, p < .001",f,1.0,78.0,399.29,<,0.001
80728,"t(40) = 6.84, p < .001",t,40.0,,6.84,<,0.001
152244,"F(1, 30) = 7.25, p < .05",f,1.0,30.0,7.25,<,0.05
147311,"F(1, 164) = 8.21, p < .01",f,1.0,164.0,8.21,<,0.01
52622,"t(170) = 3.21, p   < .01",t,170.0,,3.21,<,0.01
138930,"F(3, 53) = 3.27, p <.05",f,3.0,53.0,3.27,<,0.05
70054,"F(1, 72) = 6.99, p = .01",f,1.0,72.0,6.99,=,0.01
4706,"t(76) = −2.17, p = .03",t,76.0,,-2.17,=,0.03
76339,"F(1, 42) = 17.86, p   < .0001",f,1.0,42.0,17.86,<,0.0001
195515,"F(2, 120) = 14.25,   p < .001",f,2.0,120.0,14.25,<,0.001
107142,"t(37) = 2.4, p = .02",t,37.0,,2.4,=,0.02
41328,"t(33) = 7.54, p <.01",t,33.0,,7.54,<,0.01
54358,"F(3, 91) = 7.17, p < .001",f,3.0,91.0,7.17,<,0.001
176883,"F(1, 129) = 16.43, p < .001",f,1.0,129.0,16.43,<,0.001
118877,"F(1, 11) = 5.76, p < .05",f,1.0,11.0,5.76,<,0.05
66566,"F(1, 49) = 9.5, p < .004",f,1.0,49.0,9.5,<,0.004
148437,"t(1) = 2.21, p < .05",t,1.0,,2.21,<,0.05
156977,"F(1, 35) = 5.6, p < .05",f,1.0,35.0,5.6,<,0.05
7371,"t(36) = −2.62, p = .01",t,36.0,,-2.62,=,0.01
29040,"F(1, 22) = 69.17, p   < .001",f,1.0,22.0,69.17,<,0.001
58373,"F(1, 150) = 9.15, p = .003",f,1.0,150.0,9.15,=,0.003
166843,"t(39) = 5.14, p < .0001",t,39.0,,5.14,<,0.0001
67531,"F(1, 56) = 15.28, p < .0003",f,1.0,56.0,15.28,<,0.0003
196257,"F(6, 102) = 16.74, p    < .0001",f,6.0,102.0,16.74,<,0.0001
137361,"t(23) = 8.71, p < .001",t,23.0,,8.71,<,0.001
72108,"t(20) = 3.04, p   < .01",t,20.0,,3.04,<,0.01
102662,"t(123) = −5.52, p = .001",t,123.0,,-5.52,=,0.001
147739,"F(1, 40) = 58.73, p < .001",f,1.0,40.0,58.73,<,0.001
188231,"F(1, 334) = 7.02, p = .008",f,1.0,334.0,7.02,=,0.008
37664,"F(1, 45)   = 19.45,    p   < .001",f,1.0,45.0,19.45,<,0.001
78939,"F(1, 62) = 43.50, p < .001",f,1.0,62.0,43.5,<,0.001
135585,"F(1, 27) = 28.97, p < .001",f,1.0,27.0,28.97,<,0.001
185202,"t(40) = 3.24, p < .01",t,40.0,,3.24,<,0.01
33160,"t(156) = 2.21, p = .03",t,156.0,,2.21,=,0.03
193076,"F(6, 590) = 15.12, p < .001",f,6.0,590.0,15.12,<,0.001
330,"t(47) = 2.47, p < .05",t,47.0,,2.47,<,0.05
59052,"F(1, 119) = 73.96, p < .001",f,1.0,119.0,73.96,<,0.001
113896,"F(1, 45) = 4.19, p < .03",f,1.0,45.0,4.19,<,0.03
